#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P06971	uniprotkb:P05820	intact:EBI-1116714|uniprotkb:P71280|uniprotkb:P75665	intact:EBI-6413473	psi-mi:fhua_ecoli(display_long)|uniprotkb:JW0146(locus name)|uniprotkb:fhuA(gene name)|psi-mi:fhuA(display_short)|uniprotkb:tonA(gene name synonym)|uniprotkb:b0150(locus name)|uniprotkb:Ferric hydroxamate uptake(gene name synonym)|uniprotkb:Ferric hydroxamate receptor(gene name synonym)|uniprotkb:Ferrichrome-iron receptor(gene name synonym)	psi-mi:ceam_ecolx(display_long)|uniprotkb:cma(gene name)|psi-mi:cma(display_short)	psi-mi:"MI:0405"(competition binding)	Helbig et al. (2011)	pubmed:21148729|imex:IM-18380	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:562(ecolx)|taxid:562(Escherichia coli)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6413477|mpidb:MPIDB-INT-1522|imex:IM-18380-1	intact-miscore:0.40
uniprotkb:P0ADI4	uniprotkb:P0ADI4	intact:EBI-547993|uniprotkb:Q2MBK6|uniprotkb:P15048	intact:EBI-547993|uniprotkb:Q2MBK6|uniprotkb:P15048	psi-mi:entb_ecoli(display_long)|uniprotkb:entB(gene name)|psi-mi:entB(display_short)|uniprotkb:entG(gene name synonym)|uniprotkb:b0595(locus name)|uniprotkb:Enterochelin synthase B(gene name synonym)|uniprotkb:JW0587(locus name)|uniprotkb:Enterobactin biosynthesis bifunctional protein EntB(gene name synonym)	psi-mi:entb_ecoli(display_long)|uniprotkb:entB(gene name)|psi-mi:entB(display_short)|uniprotkb:entG(gene name synonym)|uniprotkb:b0595(locus name)|uniprotkb:Enterochelin synthase B(gene name synonym)|uniprotkb:JW0587(locus name)|uniprotkb:Enterobactin biosynthesis bifunctional protein EntB(gene name synonym)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Leduc et al. (2007)	pubmed:17675380|imex:IM-18140	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400609|mpidb:MPIDB-INT-1066|imex:IM-18140-3	intact-miscore:0.55
uniprotkb:P0A8Y8	uniprotkb:P0ADI4	intact:EBI-1118982|uniprotkb:P15050|uniprotkb:Q2MBK4	intact:EBI-547993|uniprotkb:Q2MBK6|uniprotkb:P15048	psi-mi:enth_ecoli(display_long)|uniprotkb:b0597(locus name)|uniprotkb:JW0589(locus name)|uniprotkb:p15(gene name synonym)|uniprotkb:entH(gene name)|psi-mi:entH(display_short)|uniprotkb:ybdB(gene name synonym)|uniprotkb:Enterobactin synthase component H(gene name synonym)	psi-mi:entb_ecoli(display_long)|uniprotkb:entB(gene name)|psi-mi:entB(display_short)|uniprotkb:entG(gene name synonym)|uniprotkb:b0595(locus name)|uniprotkb:Enterochelin synthase B(gene name synonym)|uniprotkb:JW0587(locus name)|uniprotkb:Enterobactin biosynthesis bifunctional protein EntB(gene name synonym)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Leduc et al. (2007)	pubmed:17675380|imex:IM-18140	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400614|mpidb:MPIDB-INT-1065|imex:IM-18140-4	intact-miscore:0.51
uniprotkb:P0A8Y8	uniprotkb:P0A8Y8	intact:EBI-1118982|uniprotkb:P15050|uniprotkb:Q2MBK4	intact:EBI-1118982|uniprotkb:P15050|uniprotkb:Q2MBK4	psi-mi:enth_ecoli(display_long)|uniprotkb:b0597(locus name)|uniprotkb:JW0589(locus name)|uniprotkb:p15(gene name synonym)|uniprotkb:entH(gene name)|psi-mi:entH(display_short)|uniprotkb:ybdB(gene name synonym)|uniprotkb:Enterobactin synthase component H(gene name synonym)	psi-mi:enth_ecoli(display_long)|uniprotkb:b0597(locus name)|uniprotkb:JW0589(locus name)|uniprotkb:p15(gene name synonym)|uniprotkb:entH(gene name)|psi-mi:entH(display_short)|uniprotkb:ybdB(gene name synonym)|uniprotkb:Enterobactin synthase component H(gene name synonym)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Leduc et al. (2007)	pubmed:17675380|imex:IM-18140	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400599|mpidb:MPIDB-INT-1068|imex:IM-18140-1	intact-miscore:0.37
uniprotkb:P0A8Y8	uniprotkb:P0ADI4	intact:EBI-1118982|uniprotkb:P15050|uniprotkb:Q2MBK4	intact:EBI-547993|uniprotkb:Q2MBK6|uniprotkb:P15048	psi-mi:enth_ecoli(display_long)|uniprotkb:b0597(locus name)|uniprotkb:JW0589(locus name)|uniprotkb:p15(gene name synonym)|uniprotkb:entH(gene name)|psi-mi:entH(display_short)|uniprotkb:ybdB(gene name synonym)|uniprotkb:Enterobactin synthase component H(gene name synonym)	psi-mi:entb_ecoli(display_long)|uniprotkb:entB(gene name)|psi-mi:entB(display_short)|uniprotkb:entG(gene name synonym)|uniprotkb:b0595(locus name)|uniprotkb:Enterochelin synthase B(gene name synonym)|uniprotkb:JW0587(locus name)|uniprotkb:Enterobactin biosynthesis bifunctional protein EntB(gene name synonym)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Leduc et al. (2007)	pubmed:17675380|imex:IM-18140	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400604|mpidb:MPIDB-INT-1067|imex:IM-18140-2	intact-miscore:0.51
uniprotkb:P06136	uniprotkb:P0A6S5	intact:EBI-1130157	intact:EBI-1113953|uniprotkb:Q2MA81|uniprotkb:Q46894	psi-mi:ftsq_ecoli(display_long)|uniprotkb:ftsQ(gene name)|psi-mi:ftsQ(display_short)|uniprotkb:b0093(locus name)|uniprotkb:JW0091(locus name)	psi-mi:ftsb_ecoli(display_long)|uniprotkb:ftsB(gene name)|psi-mi:ftsB(display_short)|uniprotkb:b2748(locus name)|uniprotkb:JW2718(locus name)|uniprotkb:ygbQ(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Scheffers et al. (2007)	pubmed:17693520|imex:IM-18143	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400793|mpidb:MPIDB-INT-1038|imex:IM-18143-4	intact-miscore:0.87
uniprotkb:P06136	uniprotkb:P0AEN4	intact:EBI-1130157	intact:EBI-1119082|uniprotkb:P22187|uniprotkb:Q8KMX6	psi-mi:ftsq_ecoli(display_long)|uniprotkb:ftsQ(gene name)|psi-mi:ftsQ(display_short)|uniprotkb:b0093(locus name)|uniprotkb:JW0091(locus name)	psi-mi:ftsl_ecoli(display_long)|uniprotkb:ftsL(gene name)|psi-mi:ftsL(display_short)|uniprotkb:mraR(gene name synonym)|uniprotkb:b0083(locus name)|uniprotkb:JW0081(locus name)|uniprotkb:yabD(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Scheffers et al. (2007)	pubmed:17693520|imex:IM-18143	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400793|mpidb:MPIDB-INT-1038|imex:IM-18143-4	intact-miscore:0.87
uniprotkb:P06136	uniprotkb:P0AGA2	intact:EBI-1130157	intact:EBI-761422|uniprotkb:Q2M6W5|uniprotkb:P03844	psi-mi:ftsq_ecoli(display_long)|uniprotkb:ftsQ(gene name)|psi-mi:ftsQ(display_short)|uniprotkb:b0093(locus name)|uniprotkb:JW0091(locus name)	psi-mi:secy_ecoli(display_long)|uniprotkb:secY(gene name)|psi-mi:secY(display_short)|uniprotkb:prlA(gene name synonym)|uniprotkb:b3300(locus name)|uniprotkb:JW3262(locus name)	psi-mi:"MI:0030"(cross-linking study)	Scheffers et al. (2007)	pubmed:17693520|imex:IM-18143	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400771|mpidb:MPIDB-INT-1037|imex:IM-18143-1	intact-miscore:0.35
uniprotkb:P06136	uniprotkb:P25714	intact:EBI-1130157	intact:EBI-6400779|uniprotkb:Q2M818	psi-mi:ftsq_ecoli(display_long)|uniprotkb:ftsQ(gene name)|psi-mi:ftsQ(display_short)|uniprotkb:b0093(locus name)|uniprotkb:JW0091(locus name)	psi-mi:yidc_ecoli(display_long)|uniprotkb:Foldase YidC(gene name synonym)|uniprotkb:Inner membrane protein YidC(gene name synonym)|uniprotkb:Membrane integrase YidC(gene name synonym)|uniprotkb:Oxa1Ec(gene name synonym)|uniprotkb:JW3683(locus name)|uniprotkb:b3705(locus name)|uniprotkb:yidC(gene name)|psi-mi:yidC(display_short)	psi-mi:"MI:0030"(cross-linking study)	Scheffers et al. (2007)	pubmed:17693520|imex:IM-18143	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6400771|mpidb:MPIDB-INT-1037|imex:IM-18143-1	intact-miscore:0.35
uniprotkb:P02929	uniprotkb:P0ABU7	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	intact:EBI-6399986|uniprotkb:Q2M9J2|uniprotkb:P18783	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:exbb_ecoli(display_long)|uniprotkb:JW2974(locus name)|uniprotkb:b3006(locus name)|uniprotkb:exbB(gene name)|psi-mi:exbB(display_short)	psi-mi:"MI:0030"(cross-linking study)	Brinkman et al. (2008)	pubmed:17965155|imex:IM-18151	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6401022|mpidb:MPIDB-INT-975|imex:IM-18151-3	intact-miscore:0.59
uniprotkb:P69776	uniprotkb:P02929	intact:EBI-909750|uniprotkb:P02937|uniprotkb:Q53272	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	psi-mi:lpp_ecoli(display_long)|uniprotkb:lpp(gene name)|psi-mi:lpp(display_short)|uniprotkb:mlpA(gene name synonym)|uniprotkb:mulI(gene name synonym)|uniprotkb:b1677(locus name)|uniprotkb:JW1667(locus name)	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:"MI:0030"(cross-linking study)	Brinkman et al. (2008)	pubmed:17965155|imex:IM-18151	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6401012|mpidb:MPIDB-INT-977|imex:IM-18151-1	intact-miscore:0.59
uniprotkb:P02929	uniprotkb:P05825	intact:EBI-6399993|uniprotkb:P76831|uniprotkb:P94719|uniprotkb:P94722|uniprotkb:P94726|uniprotkb:P94728|uniprotkb:P94732|uniprotkb:P94736|uniprotkb:P94739|uniprotkb:P97239	intact:EBI-6400027|uniprotkb:P75722|uniprotkb:P76821|uniprotkb:P77093	psi-mi:tonb_ecoli(display_long)|uniprotkb:tonB(gene name)|psi-mi:tonB(display_short)|uniprotkb:exbA(gene name synonym)|uniprotkb:JW5195(locus name)|uniprotkb:b1252(locus name)	psi-mi:fepa_ecoli(display_long)|uniprotkb:Enterobactin outer-membrane receptor(gene name synonym)|uniprotkb:fep(gene name synonym)|uniprotkb:feuB(gene name synonym)|uniprotkb:JW5086(locus name)|uniprotkb:b0584(locus name)|uniprotkb:fepA(gene name)|psi-mi:fepA(display_short)	psi-mi:"MI:0030"(cross-linking study)	Brinkman et al. (2008)	pubmed:17965155|imex:IM-18151	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6401017|mpidb:MPIDB-INT-976|imex:IM-18151-2	intact-miscore:0.59
uniprotkb:P0ABH0	uniprotkb:P0ABH0	intact:EBI-550562|uniprotkb:P06137|uniprotkb:Q47229	intact:EBI-550562|uniprotkb:P06137|uniprotkb:Q47229	psi-mi:ftsa_ecoli(display_long)|uniprotkb:ftsA(gene name)|psi-mi:ftsA(display_short)|uniprotkb:divA(gene name synonym)|uniprotkb:b0094(locus name)|uniprotkb:JW0092(locus name)	psi-mi:ftsa_ecoli(display_long)|uniprotkb:ftsA(gene name)|psi-mi:ftsA(display_short)|uniprotkb:divA(gene name synonym)|uniprotkb:b0094(locus name)|uniprotkb:JW0092(locus name)	psi-mi:"MI:0014"(adenylate cyclase complementation)	Shiomi et al. (2007)	pubmed:17986188|imex:IM-18155	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0903"(mpidb)	intact:EBI-6401251|mpidb:MPIDB-INT-1072|imex:IM-18155-1	intact-miscore:0.75
