#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:A0A0H2Z989	uniprotkb:A0A0H2Z989	uniprotkb:A0A0H2Z989|rogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963|irogid:30433072	uniprotkb:A0A0H2Z989|rogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963|irogid:30433072	uniprotkb:A0A0H2Z989_PSEAB|crogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963|icrogid:30433072	uniprotkb:A0A0H2Z989_PSEAB|crogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963|icrogid:30433072	psi-mi:"MI:0071"(molecular sieving)	bernhards-2013-1	pubmed:23279839	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-8288491|rigid:LjUWnzk/C+zypl0T+u5AX1gExGA|edgetype:Y	hpr:2|lpr:2|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1(-)	-	2018/01/22	2018/01/22	rogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963	rogid:FktaT52lY0EbdSi5WQg2W7wrTVQ208963	rigid:LjUWnzk/C+zypl0T+u5AX1gExGA	false	-	-	-	-	-	-
uniprotkb:Q02ML9	uniprotkb:Q02MM0	uniprotkb:Q02ML9|rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|irogid:27126070	uniprotkb:Q02MM0|rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|irogid:34764054	uniprotkb:CSY1_PSEAB|crogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|icrogid:27126070	uniprotkb:CSY2_PSEAB|crogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|icrogid:34764054	psi-mi:"MI:0071"(molecular sieving)	wiedenheft-2011-8	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-15925011|rigid:rArMpxRusvMoeAPK0JtJfYp3nCs|edgetype:X	hpr:12|lpr:7|np:2	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:562(Escherichia coli)	-	2018/01/22	2018/01/22	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:rArMpxRusvMoeAPK0JtJfYp3nCs	false	-	-	-	-	-	-
uniprotkb:Q02ML9	uniprotkb:Q02MM0	uniprotkb:Q02ML9|rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|irogid:27126070	uniprotkb:Q02MM0|rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|irogid:34764054	uniprotkb:CSY1_PSEAB|crogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|icrogid:27126070	uniprotkb:CSY2_PSEAB|crogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|icrogid:34764054	psi-mi:"MI:0071"(molecular sieving)	bondy_denomy-2015-5	pubmed:26416740	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-16178748|rigid:rArMpxRusvMoeAPK0JtJfYp3nCs|edgetype:X	hpr:12|lpr:7|np:2	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:562(Escherichia coli)	-	2018/01/22	2018/01/22	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:rArMpxRusvMoeAPK0JtJfYp3nCs	false	-	-	-	-	-	-
uniprotkb:Q02MM2	uniprotkb:Q02MM0	uniprotkb:Q02MM2|rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|irogid:21695361	uniprotkb:Q02MM0|rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|irogid:34764054	uniprotkb:CAS6_PSEAB|crogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|icrogid:21695361	uniprotkb:CSY2_PSEAB|crogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|icrogid:34764054	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189144E|rigid:+tqI0ZFEIWieP/wv52gyJCESVVM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:+tqI0ZFEIWieP/wv52gyJCESVVM	false	-	-	-	-	-	-
uniprotkb:Q02MM2	uniprotkb:Q02MM0	uniprotkb:Q02MM2|rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|irogid:21695361	uniprotkb:Q02MM0|rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|irogid:34764054	uniprotkb:CAS6_PSEAB|crogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|icrogid:21695361	uniprotkb:CSY2_PSEAB|crogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|icrogid:34764054	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189144E|rigid:+tqI0ZFEIWieP/wv52gyJCESVVM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:+tqI0ZFEIWieP/wv52gyJCESVVM	false	-	-	-	-	-	-
uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5|rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|irogid:30914905	uniprotkb:A0A0H2ZEG5|rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|irogid:30914905	uniprotkb:A0A0H2ZEG5_PSEAB|crogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|icrogid:30914905	uniprotkb:A0A0H2ZEG5_PSEAB|crogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|icrogid:30914905	psi-mi:"MI:0114"(x-ray crystallography)	gabrielsen-2012-1	pubmed:22575651	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-7862959|rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0|edgetype:Y	hpr:1|lpr:1|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1(-)	-	2018/01/22	2018/01/22	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0	false	-	-	-	-	-	-
uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5|rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|irogid:30914905	uniprotkb:A0A0H2ZEG5|rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|irogid:30914905	uniprotkb:A0A0H2ZEG5_PSEAB|crogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|icrogid:30914905	uniprotkb:A0A0H2ZEG5_PSEAB|crogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|icrogid:30914905	psi-mi:"MI:0028"(cosedimentation in solution)	gabriels-2012-1	pubmed:22575651	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-7863004|rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0|edgetype:Y	hpr:1|lpr:1|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1(-)	-	2018/01/22	2018/01/22	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0	false	-	-	-	-	-	-
uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5	uniprotkb:A0A0H2ZEG5|rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|irogid:30914905	uniprotkb:A0A0H2ZEG5|rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|irogid:30914905	uniprotkb:A0A0H2ZEG5_PSEAB|crogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|icrogid:30914905	uniprotkb:A0A0H2ZEG5_PSEAB|crogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963|icrogid:30914905	psi-mi:"MI:0826"(x ray scattering)	gabriels-2012-2	pubmed:22575651	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-7863020|rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0|edgetype:Y	hpr:1|lpr:1|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:-1(-)	-	2018/01/22	2018/01/22	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rogid:GiWnYKmjPjDBz5jrT1ZwNuzoowQ208963	rigid:A1rG6QwHuohc/hEBLqlh+7eF+s0	false	-	-	-	-	-	-
uniprotkb:Q02MM1	uniprotkb:Q02ML9	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:Q02ML9|rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|irogid:27126070	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	uniprotkb:CSY1_PSEAB|crogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|icrogid:27126070	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189141E|rigid:BidvEWKvyWb8DaT/7njii2xgjjM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rigid:BidvEWKvyWb8DaT/7njii2xgjjM	false	-	-	-	-	-	-
uniprotkb:Q02MM1	uniprotkb:Q02ML9	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:Q02ML9|rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|irogid:27126070	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	uniprotkb:CSY1_PSEAB|crogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963|icrogid:27126070	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189141E|rigid:BidvEWKvyWb8DaT/7njii2xgjjM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rogid:98m9LNvpxc6XFOh3Rf4PhwJf+o0208963	rigid:BidvEWKvyWb8DaT/7njii2xgjjM	false	-	-	-	-	-	-
uniprotkb:Q02MM1	uniprotkb:Q02MM0	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:Q02MM0|rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|irogid:34764054	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	uniprotkb:CSY2_PSEAB|crogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|icrogid:34764054	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189142E|rigid:ckZI2Jt2T5MN94yz3hlZxvHY9ew|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:ckZI2Jt2T5MN94yz3hlZxvHY9ew	false	-	-	-	-	-	-
uniprotkb:Q02MM1	uniprotkb:Q02MM0	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:Q02MM0|rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|irogid:34764054	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	uniprotkb:CSY2_PSEAB|crogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963|icrogid:34764054	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189142E|rigid:ckZI2Jt2T5MN94yz3hlZxvHY9ew|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rogid:OOdLe6rO7fe307k4AyGvmQE+8cg208963	rigid:ckZI2Jt2T5MN94yz3hlZxvHY9ew	false	-	-	-	-	-	-
uniprotkb:Q02MM2	uniprotkb:Q02MM1	uniprotkb:Q02MM2|rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|irogid:21695361	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:CAS6_PSEAB|crogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|icrogid:21695361	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189010E|rigid:2MNS/ppHam7aY7165OQVGX4dlIM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:2MNS/ppHam7aY7165OQVGX4dlIM	false	-	-	-	-	-	-
uniprotkb:Q02MM2	uniprotkb:Q02MM1	uniprotkb:Q02MM2|rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|irogid:21695361	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:CAS6_PSEAB|crogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|icrogid:21695361	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	psi-mi:"MI:0069"(mass spectrometry studies of complexes)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189010E|rigid:2MNS/ppHam7aY7165OQVGX4dlIM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:2MNS/ppHam7aY7165OQVGX4dlIM	false	-	-	-	-	-	-
uniprotkb:Q02MM2	uniprotkb:Q02MM1	uniprotkb:Q02MM2|rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|irogid:21695361	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:CAS6_PSEAB|crogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|icrogid:21695361	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	psi-mi:"MI:0096"(pull down)	-	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(dip)	dip:DIP-189010E|rigid:2MNS/ppHam7aY7165OQVGX4dlIM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0000"(unspecified)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	-	-	2018/01/22	2018/01/22	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:2MNS/ppHam7aY7165OQVGX4dlIM	false	-	-	-	-	-	-
uniprotkb:Q02MM2	uniprotkb:Q02MM1	uniprotkb:Q02MM2|rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|irogid:21695361	uniprotkb:Q02MM1|rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|irogid:26847969	uniprotkb:CAS6_PSEAB|crogid:+FGXgDideJCOZAD1s+nUtC2YADI208963|icrogid:21695361	uniprotkb:CSY3_PSEAB|crogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963|icrogid:26847969	psi-mi:"MI:0069"(mass spectrometry studies of complexes)	wiedenheft-2011-10	pubmed:21536913	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(intact)	intact:EBI-15925049|rigid:2MNS/ppHam7aY7165OQVGX4dlIM|edgetype:X	hpr:7|lpr:7|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:562(Escherichia coli)	-	2018/01/22	2018/01/22	rogid:+FGXgDideJCOZAD1s+nUtC2YADI208963	rogid:8bH83Af+fS+NAMQdTWh3bqaELIQ208963	rigid:2MNS/ppHam7aY7165OQVGX4dlIM	false	-	-	-	-	-	-
uniprotkb:A0A0H2ZIZ8	uniprotkb:A0A0H2ZIZ8	uniprotkb:A0A0H2ZIZ8|rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|irogid:100782426	uniprotkb:A0A0H2ZIZ8|rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|irogid:100782426	uniprotkb:A0A0H2ZIZ8_PSEAB|crogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|icrogid:100782426	uniprotkb:A0A0H2ZIZ8_PSEAB|crogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|icrogid:100782426	psi-mi:"MI:0071"(molecular sieving)	morris-2013-1	pubmed:23954502	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-16224504|rigid:t4eCNmdsV9a2SF6jEIWVFHcSu7k|edgetype:Y	hpr:1|lpr:1|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:562(Escherichia coli)	-	2018/01/22	2018/01/22	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rigid:t4eCNmdsV9a2SF6jEIWVFHcSu7k	false	-	-	-	-	-	-
uniprotkb:A0A0H2ZIZ8	uniprotkb:A0A0H2ZIZ8	uniprotkb:A0A0H2ZIZ8|rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|irogid:100782426	uniprotkb:A0A0H2ZIZ8|rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|irogid:100782426	uniprotkb:A0A0H2ZIZ8_PSEAB|crogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|icrogid:100782426	uniprotkb:A0A0H2ZIZ8_PSEAB|crogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963|icrogid:100782426	psi-mi:"MI:0069"(mass spectrometry studies of complexes)	morris-2013-2	pubmed:23954502	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	taxid:208963(Pseudomonas aeruginosa UCBPP-PA14)	psi-mi:"MI:0407"(direct interaction)	psi-mi:"MI:0469"(intact)	intact:EBI-16224520|rigid:t4eCNmdsV9a2SF6jEIWVFHcSu7k|edgetype:Y	hpr:1|lpr:1|np:1	none:none	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	-	-	-	-	-	-	taxid:562(Escherichia coli)	-	2018/01/22	2018/01/22	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rogid:0XQfxfwmWU+7xAQzlre8WzAWse8208963	rigid:t4eCNmdsV9a2SF6jEIWVFHcSu7k	false	-	-	-	-	-	-
