"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"adenosine-5-diphosphate","SmallMoleculeReference",NA,"CAS:58-64-0;ChEBI:CHEBI:456216;ChemSpider:5414423;EcoCyc:ADP;HMDB:HMDB01341;IAF1260:adp;KEGG LIGAND:C00008;MetaboLights:MTBLC456216;PubChem-compound:7058055;RefMet:ADP",NA
"P05804","ProteinReference","UidA","Database of Interacting Proteins:DIP-11086N;EcoCyc:BETA-GLUCURONID-MONOMER;EcoliWiki:b1617;MODBASE:P05804;NCBI Reference Sequences Database:NP_416134;Pride:P05804;Protein Model Portal:P05804;SWISS-MODEL:P05804;UniProt:P05804","CAZy:GH2;InterPro:IPR006101;InterPro:IPR006102;InterPro:IPR006103;InterPro:IPR006104;InterPro:IPR008979;InterPro:IPR013783;InterPro:IPR017853;InterPro:IPR023230;InterPro:IPR023232;Pfam:PF00703;Pfam:PF02836;Pfam:PF02837;Prints:PR00132;Prosite:PS00608;Prosite:PS00719;Protein Data Bank:3K46;Protein Data Bank:3K4A;Protein Data Bank:3K4D;Protein Data Bank:3LPF;Protein Data Bank:3LPG;Protein Data Bank:4JHZ;Protein Data Bank:5CZK"
"adenosine-5'-triphosphate","SmallMoleculeReference",NA,"CAS:56-65-5;ChEBI:CHEBI:30616;ChemSpider:4574455;EcoCyc:ATP;HMDB:HMDB00538;IAF1260:atp;KEGG LIGAND:C00002;MetaboLights:MTBLC30616;PubChem-compound:5461108;RefMet:ATP",NA
"D-arabinonate","SmallMoleculeReference",NA,"ChEBI:CHEBI:16157;EcoCyc:CPD-1114;PubChem-compound:5459898;RefMet:Arabinonic acid",NA
"Fe++","SmallMoleculeReference",NA,"ChEBI:CHEBI:29033;ChemSpider:25394;EcoCyc:FE+2;HMDB:HMDB00692;IAF1260:fe2;KEGG LIGAND:C14818;MetaboLights:MTBLC29033;PubChem-compound:27284",NA
"tagaturonate","SmallMoleculeReference",NA,"ChEBI:CHEBI:17886;ChemSpider:4573770;EcoCyc:D-TAGATURONATE;IAF1260:tagur;KEGG LIGAND:C00558;PubChem-compound:5460108",NA
"P42604","ProteinReference","UxaA","Database of Interacting Proteins:DIP-11105N;EcoCyc:ALTRODEHYDRAT-MONOMER;EcoliWiki:b3091;NCBI Reference Sequences Database:NP_417562;Pride:P42604;Protein Model Portal:P42604;Protein Ontology:PRO_000024203;SWISS-MODEL:P42604;UniProt:P42604","InterPro:IPR007392;InterPro:IPR013974;Pfam:PF04295;Pfam:PF08666;Smart:SM00858"
"(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol","SmallMoleculeReference",NA,"CAS:69-65-8;ChEBI:CHEBI:16899;ChemSpider:6015;DrugBank:DB00742;EcoCyc:MANNITOL;HMDB:HMDB00765;IAF1260:mnl;KEGG LIGAND:C00392;MetaboLights:MTBLC16899;PubChem-compound:6251;RefMet:Mannitol",NA
"Mg+2","SmallMoleculeReference",NA,"ChEBI:CHEBI:18420;ChemSpider:865;DrugBank:DB01378;EcoCyc:MG+2;HMDB:HMDB00547;IAF1260:mg2;KEGG LIGAND:C00305;PubChem-compound:888",NA
"aldehydo-D-galacturonate","SmallMoleculeReference",NA,"ChEBI:CHEBI:12952;EcoCyc:CPD-15633;PubChem-compound:1593918;RefMet:Galacturonic acid",NA
"D-fructuronate","SmallMoleculeReference",NA,"ChEBI:CHEBI:4126;EcoCyc:FRUCTURONATE;IAF1260:36345;IAF1260:fruur;KEGG LIGAND:C00905;PubChem-compound:439343",NA
"P39160","ProteinReference","UxuB","Database of Interacting Proteins:DIP-11109N;EcoCyc:MANNONOXIDOREDUCT-MONOMER;EcoliWiki:b4323;MODBASE:P39160;NCBI Reference Sequences Database:NP_418743;Pride:P39160;Protein Model Portal:P39160;Protein Ontology:PRO_000024207;SWISS-MODEL:P39160;Swiss-Model:P39160;UniProt:P39160","InterPro:IPR000669;InterPro:IPR008927;InterPro:IPR013118;InterPro:IPR013131;InterPro:IPR013328;InterPro:IPR016040;InterPro:IPR023027;Pfam:PF01232;Pfam:PF08125;Prints:PR00084;Prosite:PS00974"
"P24215","ProteinReference","UxuA","Database of Interacting Proteins:DIP-11108N;EcoCyc:MANNONDEHYDRAT-MONOMER;EcoliWiki:b4322;MODBASE:P24215;NCBI Reference Sequences Database:NP_418742;Pride:P24215;Protein Model Portal:P24215;Protein Ontology:PRO_000024206;SWISS-MODEL:P24215;UniProt:P24215","InterPro:IPR004628;InterPro:IPR013022;Panther:PTHR30387:SF3;Pfam:PF03786;Protein Data Bank:4EAC;Protein Data Bank:4EAY"
"mannonate","SmallMoleculeReference",NA,"ChEBI:CHEBI:17767;ChemSpider:4573735;EcoCyc:D-MANNONATE;IAF1260:mana;KEGG LIGAND:C00514;PubChem-compound:5460054",NA
"D-glucopyranuronate","SmallMoleculeReference",NA,"ChEBI:CHEBI:47952;EcoCyc:D-Glucopyranuronate",NA
"P0A955","ProteinReference","Eda","Database of Interacting Proteins:DIP-36196N;EcoCyc:KDPGALDOL-4OH2OXOGLUTARALDOL-MONOMER;EcoliWiki:b1850;MODBASE:P0A955;NCBI Reference Sequences Database:NP_416364;Pride:P0A955;Protein Model Portal:P0A955;Protein Ontology:PRO_000022502;SWISS-MODEL:P0A955;UniProt:P0A955","InterPro:IPR000887;InterPro:IPR013785;InterPro:IPR031337;InterPro:IPR031338;Pfam:PF01081;Prosite:PS00159;Prosite:PS00160;Protein Data Bank:1EUA;Protein Data Bank:1EUN;Protein Data Bank:1FQ0;Protein Data Bank:1FWR;Protein Data Bank:1WAU;Protein Data Bank:1WBH;Protein Data Bank:2C0A"
"(2R)-2-hydroxy-3-(phosphooxy)-propanal","SmallMoleculeReference",NA,"CAS:591-57-1;ChEBI:CHEBI:59776;EcoCyc:GAP;HMDB:HMDB01112;IAF1260:g3p;KEGG LIGAND:C00118;PubChem-compound:24794350;RefMet:Glyceraldehyde-3-phosphate",NA
"6-p gluconate","SmallMoleculeReference",NA,"ChEBI:CHEBI:58759;EcoCyc:CPD-2961;HMDB:HMDB01316;IAF1260:6pgc;KEGG LIGAND:C00345;MetaboLights:MTBLC58759;PubChem-compound:36688186;RefMet:6-Phosphogluconic acid",NA
"meglumine","SmallMoleculeReference",NA,"CAS:50-70-4;ChEBI:CHEBI:17924;ChemSpider:5576;DrugBank:DB01638;EcoCyc:SORBITOL;HMDB:HMDB00247;IAF1260:sbt__D;KEGG LIGAND:C00794;MetaboLights:MTBLC17924;PubChem-compound:5780;RefMet:Sorbitol",NA
"alcohol","SmallMoleculeReference",NA,"ChEBI:CHEBI:30879;EcoCyc:Alcohols;KEGG LIGAND:C00069",NA
"o-phenanthroline","SmallMoleculeReference",NA,"ChEBI:CHEBI:44975;ChemSpider:1278;DrugBank:DB02365;EcoCyc:O-PHENANTHROLINE;KEGG LIGAND:C00604;PubChem-compound:1318",NA
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"KDGP","SmallMoleculeReference","KDGP","CAS:27244-54-8;ChEBI:CHEBI:57569;EcoCyc:2-KETO-3-DEOXY-6-P-GLUCONATE;HMDB:HMDB01376;IAF1260:2ddg6p;KEGG LIGAND:C04442;PubChem-compound:44229082",NA
"GlcA","SmallMoleculeReference",NA,"CAS:6556-12-3;ChEBI:CHEBI:58720;EcoCyc:GLUCURONATE;HMDB:HMDB00127;IAF1260:34196;IAF1260:glcur;KEGG LIGAND:C00191;PubChem-compound:16740916",NA
"D-Mannonamide","SmallMoleculeReference",NA,"ChemSpider:134781;EcoCyc:CPD0-1655;PubChem-compound:152922",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"P0A6L7","ProteinReference","UxaB","EcoCyc:ALTRO-OXIDOREDUCT-MONOMER;EcoliWiki:b1521;MODBASE:P0A6L7;NCBI Reference Sequences Database:YP_025302;Pride:P0A6L7;Protein Model Portal:P0A6L7;Protein Ontology:PRO_000024204;SWISS-MODEL:P0A6L7;UniProt:P0A6L7","InterPro:IPR008927;InterPro:IPR013118;InterPro:IPR013131;InterPro:IPR013328;InterPro:IPR016040;InterPro:IPR023668;Pfam:PF01232;Pfam:PF08125"
"P37647","ProteinReference","KdgK","Database of Interacting Proteins:DIP-10056N;EcoCyc:DEOXYGLUCONOKIN-MONOMER;EcoliWiki:b3526;MODBASE:P37647;Mint:MINT-1219186;NCBI Reference Sequences Database:NP_417983;Pride:P37647;Protein Model Portal:P37647;Protein Ontology:PRO_000023047;SWISS-MODEL:P37647;UniProt:P37647","InterPro:IPR002173;InterPro:IPR011611;InterPro:IPR029056;Pfam:PF00294;Prosite:PS00584"
"Ca++","SmallMoleculeReference",NA,"ChEBI:CHEBI:29108;ChemSpider:266;EcoCyc:CA+2;HMDB:HMDB00464;IAF1260:ca2;KEGG LIGAND:C00076;MetaboLights:MTBLC29108;PubChem-compound:271",NA
"maltonic acid","SmallMoleculeReference",NA,"CAS:526-95-4;ChEBI:CHEBI:18391;ChemSpider:4925340;EcoCyc:GLUCONATE;HMDB:HMDB00625;IAF1260:glcn;KEGG LIGAND:C00257;MetaboLights:MTBLC18391;PubChem-compound:6419706;RefMet:Gluconic acid",NA
"aldehydo-D-glucuronate","SmallMoleculeReference",NA,"ChEBI:CHEBI:47953;EcoCyc:CPD-15530;PubChem-compound:5460126",NA
"(4-carboxyphenyl)-chloro-mercury","SmallMoleculeReference",NA,"ChEBI:CHEBI:28420;ChemSpider:10606363;EcoCyc:CPD-29;KEGG LIGAND:C03444;PubChem-compound:21226146",NA
"Cu++","SmallMoleculeReference",NA,"ChEBI:CHEBI:29036;ChemSpider:25221;EcoCyc:CU+2;HMDB:HMDB00657;IAF1260:cu2;PubChem-compound:27099",NA
"nicotinamide adenine dinucleotide reduced","SmallMoleculeReference",NA,"CAS:58-68-4;ChEBI:CHEBI:57945;ChemSpider:10239197;EcoCyc:NADH;HMDB:HMDB01487;IAF1260:nadh;KEGG LIGAND:C00004;MetaboLights:MTBLC57945;PubChem-compound:21604869;RefMet:NADH",NA
"Mn2+","SmallMoleculeReference",NA,"CAS:16397-91-4;CAS:7439-96-5;ChEBI:CHEBI:29035;ChemSpider:25916;EcoCyc:MN+2;HMDB:HMDB01333;IAF1260:mn2;KEGG LIGAND:C19610;PubChem-compound:27854",NA
"beta;-mercaptoethanol","SmallMoleculeReference",NA,"ChEBI:CHEBI:41218;ChemSpider:1512;DrugBank:DB03345;EcoCyc:2-MERCAPTOETHANOL;KEGG LIGAND:C00928;PubChem-compound:1567",NA
"cyanide salts","SmallMoleculeReference",NA,"ChEBI:CHEBI:33192;ChemSpider:8587;EcoCyc:CPD0-1610;KEGG LIGAND:C18673;PubChem-compound:8929",NA
"cys","SmallMoleculeReference","cys","CAS:4371-52-2;CAS:52-90-4;ChEBI:CHEBI:35235;EcoCyc:CYS;HMDB:HMDB00574;IAF1260:cys__L;KEGG LIGAND:C00097;KNApSAcK:C00001351;MetaboLights:MTBLC35235;PubChem-compound:6419722;RefMet:Cysteine",NA
