"PARTICIPANT","PARTICIPANT_TYPE","PARTICIPANT_NAME","UNIFICATION_XREF","RELATIONSHIP_XREF"
"alpha;-oxo-1-carboxy-5,6-dihydrothiopyranpropanoic acid S-oxide","SmallMoleculeReference",NA,"EcoCyc:CPD0-1525;PubChem-compound:46926160",NA
"cis-butenedioic acid","SmallMoleculeReference",NA,"CAS:110-16-7;ChEBI:CHEBI:30780;ChemSpider:4450430;EcoCyc:MALEATE;HMDB:HMDB00176;KEGG LIGAND:C01384;PubChem-compound:5288227;RefMet:Maleic acid",NA
"tetranitromethane","SmallMoleculeReference",NA,"ChEBI:CHEBI:82372;ChemSpider:13842838;EcoCyc:TETRANITROMETHANE;KEGG LIGAND:C19300;PubChem-compound:10509",NA
"leu","SmallMoleculeReference","leu","CAS:61-90-5;ChEBI:CHEBI:57427;EcoCyc:LEU;HMDB:HMDB00687;IAF1260:leu__L;KEGG LIGAND:C00123;MetaboLights:MTBLC57427;NCI Open DB:46709;PubChem-compound:7045798;RefMet:Leucine",NA
"P0A9J8","ProteinReference","PheA","Database of Interacting Proteins:DIP-36017N;EcoCyc:CHORISMUTPREPHENDEHYDRAT-MONOMER;EcoliWiki:b2599;MODBASE:P0A9J8;Mint:MINT-1248118;NCBI Reference Sequences Database:NP_417090;Pride:P0A9J8;Protein Model Portal:P0A9J8;Protein Ontology:PRO_000023528;SWISS-MODEL:P0A9J8;Swiss-Model:P0A9J8;UniProt:P0A9J8","InterPro:IPR001086;InterPro:IPR002701;InterPro:IPR002912;InterPro:IPR008242;InterPro:IPR010952;InterPro:IPR018528;InterPro:IPR020822;Pfam:PF00800;Pfam:PF01817;Prosite:PS00857;Prosite:PS00858;Prosite:PS51168;Prosite:PS51171;Prosite:PS51671;Protein Data Bank:1ECM;Protein Data Bank:5VHT;Smart:SM00830"
"2,4,6-trinitrobenzene sulphonate","SmallMoleculeReference",NA,"ChEBI:CHEBI:53063;ChemSpider:10577;EcoCyc:CPD-12153;PubChem-compound:115142",NA
"(S)-2-hydroxyglutarate","SmallMoleculeReference",NA,"CAS:13095-48-2;ChEBI:CHEBI:16782;ChemSpider:4573913;EcoCyc:CPD-381;HMDB:HMDB00694;KEGG LIGAND:C03196;PubChem-compound:5460355;RefMet:2-hydroxyglutaric acid",NA
"maleic acid N-ethylimide","SmallMoleculeReference",NA,"ChEBI:CHEBI:44485;ChemSpider:4209;DrugBank:DB02967;EcoCyc:N-ETHYLMALEIMIDE;KEGG LIGAND:C02441;PubChem-compound:4362;RefMet:N-ethylmaleimide",NA
"hydrogen ion","SmallMoleculeReference",NA,"CAS:12408-02-5;ChEBI:CHEBI:15378;ChemSpider:1010;EcoCyc:PROTON;HMDB:HMDB59597;IAF1260:h;KEGG LIGAND:C00080;PubChem-compound:1038",NA
"carbon dioxide","SmallMoleculeReference",NA,"CAS:124-38-9;ChEBI:CHEBI:16526;ChemSpider:274;EcoCyc:CARBON-DIOXIDE;HMDB:HMDB01967;IAF1260:co2;KEGG LIGAND:C00011;MetaboLights:MTBLC16526;PubChem-compound:280;UMBBD Compound:c0131",NA
"H2O","SmallMoleculeReference",NA,"CAS:7732-18-5;ChEBI:CHEBI:15377;ChemSpider:937;EcoCyc:WATER;HMDB:HMDB02111;IAF1260:h2o;KEGG LIGAND:C00001;MetaboLights:MTBLC15377;PubChem-compound:962",NA
"2-oxoisovalerate","SmallMoleculeReference",NA,"CAS:759-05-7;ChEBI:CHEBI:11851;ChemSpider:4375810;EcoCyc:2-KETO-ISOVALERATE;HMDB:HMDB00019;IAF1260:3mob;KEGG LIGAND:C00141;MetaboLights:MTBLC11851;PubChem-compound:5204641;RefMet:Ketoisovaleric acid",NA
"alpha;-oxo-1-carboxy-4-tetrahydrothiopyranpropanoic acid S-oxide","SmallMoleculeReference",NA,"EcoCyc:CPD0-1524;PubChem-compound:46926312",NA
"prephenate","SmallMoleculeReference",NA,"CAS:126-49-8;ChEBI:CHEBI:29934;ChemSpider:4573884;EcoCyc:PREPHENATE;HMDB:HMDB12283;IAF1260:pphn;KEGG LIGAND:C00254;PubChem-compound:5460303",NA
"phe","SmallMoleculeReference","phe","CAS:63-91-2;ChEBI:CHEBI:58095;EcoCyc:PHE;HMDB:HMDB00159;IAF1260:phe__L;KEGG LIGAND:C00079;MetaboLights:MTBLC58095;PubChem-compound:6925665;RefMet:Phenylalanine",NA
"glu","SmallMoleculeReference","glu","CAS:56-86-0;ChEBI:CHEBI:29985;ChemSpider:4573882;EcoCyc:GLT;HMDB:HMDB00148;IAF1260:glu__L;KEGG LIGAND:C00025;KNApSAcK:C00001358;MetaboLights:MTBLC29985;PubChem-compound:5460299;RefMet:Glutamic acid",NA
"P07023","ProteinReference","TyrA","Database of Interacting Proteins:DIP-11059N;EcoCyc:CHORISMUTPREPHENDEHYDROG-MONOMER;EcoliWiki:b2600;MODBASE:P07023;Mint:MINT-1255670;NCBI Reference Sequences Database:NP_417091;Pride:P07023;Protein Model Portal:P07023;Protein Ontology:PRO_000024150;SWISS-MODEL:P07023;UniProt:P07023","InterPro:IPR002701;InterPro:IPR003099;InterPro:IPR008244;InterPro:IPR008927;InterPro:IPR011277;InterPro:IPR016040;InterPro:IPR020822;Pfam:PF01817;Pfam:PF02153;Prosite:PS51168;Prosite:PS51176;Smart:SM00830"
"P04693","ProteinReference","TyrB","EcoCyc:TYRB-MONOMER;EcoliWiki:b4054;MODBASE:P04693;NCBI Reference Sequences Database:NP_418478;Pride:P04693;Protein Model Portal:P04693;Protein Ontology:PRO_000024151;SWISS-MODEL:P04693;UniProt:P04693","InterPro:IPR000796;InterPro:IPR004838;InterPro:IPR004839;InterPro:IPR015421;InterPro:IPR015422;InterPro:IPR015424;Panther:PTHR11879;Pfam:PF00155;Prints:PR00799;Prosite:PS00105;Protein Data Bank:3FSL;Protein Data Bank:3TAT"
"P0AB80","ProteinReference","IlvE","Database of Interacting Proteins:DIP-10022N;EcoCyc:BRANCHED-CHAINAMINOTRANSFER-MONOMER;EcoliWiki:b3770;NCBI Reference Sequences Database:YP_026247;Pride:P0AB80;Protein Model Portal:P0AB80;Protein Ontology:PRO_000023005;SWISS-MODEL:P0AB80;UniProt:P0AB80","InterPro:IPR001544;InterPro:IPR005785;InterPro:IPR018300;InterPro:IPR033939;Panther:PTHR11825;Pfam:PF01063;Prosite:PS00770;Protein Data Bank:1A3G;Protein Data Bank:1I1K;Protein Data Bank:1I1L;Protein Data Bank:1I1M;Protein Data Bank:1IYD;Protein Data Bank:1IYE"
