#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P33927	uniprotkb:P69490	intact:EBI-763370|uniprotkb:Q2MAP7	intact:EBI-1128007|uniprotkb:P33928|uniprotkb:Q2MAP6	psi-mi:ccmf_ecoli(display_long)|uniprotkb:yejR(gene name synonym)|uniprotkb:ccmF(gene name)|psi-mi:ccmF(display_short)|uniprotkb:b2196(locus name)|uniprotkb:JW2184(locus name)	psi-mi:ccme_ecoli(display_long)|uniprotkb:ccmE(gene name)|psi-mi:ccmE(display_short)|uniprotkb:b2197(locus name)|uniprotkb:JW2185(locus name)|uniprotkb:yejS(gene name synonym)|uniprotkb:Cytochrome c maturation protein E(gene name synonym)|uniprotkb:Heme chaperone CcmE(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Ren et al. (2002)	pubmed:11744735|imex:IM-19098|mint:MINT-5214949	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-2123494|imex:IM-19098-3	intact-miscore:0.40
uniprotkb:P0ABM9	uniprotkb:P33927	intact:EBI-560309|uniprotkb:P33925|uniprotkb:Q2MAP9	intact:EBI-763370|uniprotkb:Q2MAP7	psi-mi:ccmh_ecoli(display_long)|uniprotkb:yejP(gene name synonym)|uniprotkb:ccmH(gene name)|psi-mi:ccmH(display_short)|uniprotkb:b2194(locus name)|uniprotkb:JW2182(locus name)	psi-mi:ccmf_ecoli(display_long)|uniprotkb:yejR(gene name synonym)|uniprotkb:ccmF(gene name)|psi-mi:ccmF(display_short)|uniprotkb:b2196(locus name)|uniprotkb:JW2184(locus name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Ren et al. (2002)	pubmed:11744735|imex:IM-19098|mint:MINT-5214949	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-2123499|imex:IM-19098-4	intact-miscore:0.59
uniprotkb:P76010	uniprotkb:P06974	intact:EBI-554507|uniprotkb:Q9R7N3	intact:EBI-560439	psi-mi:ycgr_ecoli(display_long)|uniprotkb:ycgR(gene name)|psi-mi:ycgR(display_short)|uniprotkb:b1194(locus name)|uniprotkb:Cyclic di-GMP binding protein YcgR(gene name synonym)|uniprotkb:JW1183(locus name)	psi-mi:flim_ecoli(display_long)|uniprotkb:fla AII(gene name synonym)|uniprotkb:fla QII(gene name synonym)|uniprotkb:b1945(locus name)|uniprotkb:fliM(gene name)|psi-mi:fliM(display_short)|uniprotkb:cheC2(gene name synonym)|uniprotkb:JW1929(locus name)	psi-mi:"MI:0096"(pull down)	Paul et al. (2010)	pubmed:20346719|imex:IM-17235	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4409476|imex:IM-17235-1	intact-miscore:0.50
uniprotkb:P76010	uniprotkb:P0ABZ1	intact:EBI-554507|uniprotkb:Q9R7N3	intact:EBI-1126524|uniprotkb:P31067|uniprotkb:P76915	psi-mi:ycgr_ecoli(display_long)|uniprotkb:ycgR(gene name)|psi-mi:ycgR(display_short)|uniprotkb:b1194(locus name)|uniprotkb:Cyclic di-GMP binding protein YcgR(gene name synonym)|uniprotkb:JW1183(locus name)	psi-mi:flig_ecoli(display_long)|uniprotkb:fliG(gene name)|psi-mi:fliG(display_short)|uniprotkb:fla AII.2(gene name synonym)|uniprotkb:fla BII(gene name synonym)|uniprotkb:b1939(locus name)|uniprotkb:JW1923(locus name)	psi-mi:"MI:0096"(pull down)	Paul et al. (2010)	pubmed:20346719|imex:IM-17235	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0914"(association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4409476|imex:IM-17235-1	intact-miscore:0.50
uniprotkb:P76010	uniprotkb:P06974	intact:EBI-554507|uniprotkb:Q9R7N3	intact:EBI-560439	psi-mi:ycgr_ecoli(display_long)|uniprotkb:ycgR(gene name)|psi-mi:ycgR(display_short)|uniprotkb:b1194(locus name)|uniprotkb:Cyclic di-GMP binding protein YcgR(gene name synonym)|uniprotkb:JW1183(locus name)	psi-mi:flim_ecoli(display_long)|uniprotkb:fla AII(gene name synonym)|uniprotkb:fla QII(gene name synonym)|uniprotkb:b1945(locus name)|uniprotkb:fliM(gene name)|psi-mi:fliM(display_short)|uniprotkb:cheC2(gene name synonym)|uniprotkb:JW1929(locus name)	psi-mi:"MI:0096"(pull down)	Paul et al. (2010)	pubmed:20346719|imex:IM-17235	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4410172|imex:IM-17235-2	intact-miscore:0.50
uniprotkb:P76010	uniprotkb:P0ABZ1	intact:EBI-554507|uniprotkb:Q9R7N3	intact:EBI-1126524|uniprotkb:P31067|uniprotkb:P76915	psi-mi:ycgr_ecoli(display_long)|uniprotkb:ycgR(gene name)|psi-mi:ycgR(display_short)|uniprotkb:b1194(locus name)|uniprotkb:Cyclic di-GMP binding protein YcgR(gene name synonym)|uniprotkb:JW1183(locus name)	psi-mi:flig_ecoli(display_long)|uniprotkb:fliG(gene name)|psi-mi:fliG(display_short)|uniprotkb:fla AII.2(gene name synonym)|uniprotkb:fla BII(gene name synonym)|uniprotkb:b1939(locus name)|uniprotkb:JW1923(locus name)	psi-mi:"MI:0096"(pull down)	Paul et al. (2010)	pubmed:20346719|imex:IM-17235	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4410209|imex:IM-17235-3	intact-miscore:0.50
uniprotkb:P76010	uniprotkb:P06974	intact:EBI-554507|uniprotkb:Q9R7N3	intact:EBI-560439	psi-mi:ycgr_ecoli(display_long)|uniprotkb:ycgR(gene name)|psi-mi:ycgR(display_short)|uniprotkb:b1194(locus name)|uniprotkb:Cyclic di-GMP binding protein YcgR(gene name synonym)|uniprotkb:JW1183(locus name)	psi-mi:flim_ecoli(display_long)|uniprotkb:fla AII(gene name synonym)|uniprotkb:fla QII(gene name synonym)|uniprotkb:b1945(locus name)|uniprotkb:fliM(gene name)|psi-mi:fliM(display_short)|uniprotkb:cheC2(gene name synonym)|uniprotkb:JW1929(locus name)	psi-mi:"MI:0096"(pull down)	Paul et al. (2010)	pubmed:20346719|imex:IM-17235	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4410244|imex:IM-17235-4	intact-miscore:0.50
uniprotkb:P76010	uniprotkb:P0ABZ1	intact:EBI-554507|uniprotkb:Q9R7N3	intact:EBI-1126524|uniprotkb:P31067|uniprotkb:P76915	psi-mi:ycgr_ecoli(display_long)|uniprotkb:ycgR(gene name)|psi-mi:ycgR(display_short)|uniprotkb:b1194(locus name)|uniprotkb:Cyclic di-GMP binding protein YcgR(gene name synonym)|uniprotkb:JW1183(locus name)	psi-mi:flig_ecoli(display_long)|uniprotkb:fliG(gene name)|psi-mi:fliG(display_short)|uniprotkb:fla AII.2(gene name synonym)|uniprotkb:fla BII(gene name synonym)|uniprotkb:b1939(locus name)|uniprotkb:JW1923(locus name)	psi-mi:"MI:0096"(pull down)	Paul et al. (2010)	pubmed:20346719|imex:IM-17235	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4410263|imex:IM-17235-5	intact-miscore:0.50
uniprotkb:P0ABZ1	uniprotkb:P0ABZ1	intact:EBI-1126524|uniprotkb:P31067|uniprotkb:P76915	intact:EBI-1126524|uniprotkb:P31067|uniprotkb:P76915	psi-mi:flig_ecoli(display_long)|uniprotkb:fliG(gene name)|psi-mi:fliG(display_short)|uniprotkb:fla AII.2(gene name synonym)|uniprotkb:fla BII(gene name synonym)|uniprotkb:b1939(locus name)|uniprotkb:JW1923(locus name)	psi-mi:flig_ecoli(display_long)|uniprotkb:fliG(gene name)|psi-mi:fliG(display_short)|uniprotkb:fla AII.2(gene name synonym)|uniprotkb:fla BII(gene name synonym)|uniprotkb:b1939(locus name)|uniprotkb:JW1923(locus name)	psi-mi:"MI:0030"(cross-linking study)	Paul et al. (2010)	pubmed:20346719|imex:IM-17235	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0408"(disulfide bond)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4410305|imex:IM-17235-6	intact-miscore:0.72
uniprotkb:P18775	uniprotkb:P69853	intact:EBI-4411104	intact:EBI-4406374|uniprotkb:P76174|uniprotkb:P77270	psi-mi:dmsa_ecoli(display_long)|uniprotkb:dmsA(gene name)|psi-mi:dmsA(display_short)|uniprotkb:b0894(locus name)|uniprotkb:JW5118(locus name)	psi-mi:dmsd_ecoli(display_long)|uniprotkb:dmsD(gene name)|psi-mi:dmsD(display_short)|uniprotkb:ynfI(gene name synonym)|uniprotkb:b1591(locus name)|uniprotkb:JW5262(locus name)|uniprotkb:DMSO reductase maturation protein(gene name synonym)|uniprotkb:Twin-arginine leader-binding protein DmsD(gene name synonym)	psi-mi:"MI:0809"(bimolecular fluorescence complementation)	Kostecki et al. (2010)	pubmed:20169075|imex:IM-16951	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4411102|imex:IM-16951-1	intact-miscore:0.83
uniprotkb:P69428	uniprotkb:P69428	intact:EBI-4411542|uniprotkb:O65938|uniprotkb:P27856|uniprotkb:Q2M8E1	intact:EBI-4411542|uniprotkb:O65938|uniprotkb:P27856|uniprotkb:Q2M8E1	psi-mi:tata_ecoli(display_long)|uniprotkb:tatA(gene name)|psi-mi:tatA(display_short)|uniprotkb:mttA1(gene name synonym)|uniprotkb:yigT(gene name synonym)|uniprotkb:b3836(locus name)|uniprotkb:JW3813(locus name)	psi-mi:tata_ecoli(display_long)|uniprotkb:tatA(gene name)|psi-mi:tatA(display_short)|uniprotkb:mttA1(gene name synonym)|uniprotkb:yigT(gene name synonym)|uniprotkb:b3836(locus name)|uniprotkb:JW3813(locus name)	psi-mi:"MI:0809"(bimolecular fluorescence complementation)	Kostecki et al. (2010)	pubmed:20169075|imex:IM-16951	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4411540|imex:IM-16951-3	intact-miscore:0.55
uniprotkb:P69425	uniprotkb:P69425	intact:EBI-4411577|uniprotkb:Q2M8E2|uniprotkb:O69415|uniprotkb:O87926|uniprotkb:P27856	intact:EBI-4411577|uniprotkb:Q2M8E2|uniprotkb:O69415|uniprotkb:O87926|uniprotkb:P27856	psi-mi:tatb_ecoli(display_long)|uniprotkb:tatB(gene name)|psi-mi:tatB(display_short)|uniprotkb:mttA2(gene name synonym)|uniprotkb:ysgB(gene name synonym)|uniprotkb:b3838(locus name)|uniprotkb:JW5580(locus name)	psi-mi:tatb_ecoli(display_long)|uniprotkb:tatB(gene name)|psi-mi:tatB(display_short)|uniprotkb:mttA2(gene name synonym)|uniprotkb:ysgB(gene name synonym)|uniprotkb:b3838(locus name)|uniprotkb:JW5580(locus name)	psi-mi:"MI:0809"(bimolecular fluorescence complementation)	Kostecki et al. (2010)	pubmed:20169075|imex:IM-16951	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4411575|imex:IM-16951-4	intact-miscore:0.55
uniprotkb:P69428	uniprotkb:P69425	intact:EBI-4411542|uniprotkb:O65938|uniprotkb:P27856|uniprotkb:Q2M8E1	intact:EBI-4411577|uniprotkb:Q2M8E2|uniprotkb:O69415|uniprotkb:O87926|uniprotkb:P27856	psi-mi:tata_ecoli(display_long)|uniprotkb:tatA(gene name)|psi-mi:tatA(display_short)|uniprotkb:mttA1(gene name synonym)|uniprotkb:yigT(gene name synonym)|uniprotkb:b3836(locus name)|uniprotkb:JW3813(locus name)	psi-mi:tatb_ecoli(display_long)|uniprotkb:tatB(gene name)|psi-mi:tatB(display_short)|uniprotkb:mttA2(gene name synonym)|uniprotkb:ysgB(gene name synonym)|uniprotkb:b3838(locus name)|uniprotkb:JW5580(locus name)	psi-mi:"MI:0809"(bimolecular fluorescence complementation)	Kostecki et al. (2010)	pubmed:20169075|imex:IM-16951	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4411611|imex:IM-16951-5	intact-miscore:0.37
uniprotkb:P69423	uniprotkb:P69428	intact:EBI-4411641|uniprotkb:P76766|uniprotkb:Q2M8E3|uniprotkb:P27857|uniprotkb:P27858|uniprotkb:P76765	intact:EBI-4411542|uniprotkb:O65938|uniprotkb:P27856|uniprotkb:Q2M8E1	psi-mi:tatc_ecoli(display_long)|uniprotkb:tatC(gene name)|psi-mi:tatC(display_short)|uniprotkb:mttB(gene name synonym)|uniprotkb:yigU(gene name synonym)|uniprotkb:yigV(gene name synonym)|uniprotkb:b3839(locus name)|uniprotkb:JW3815(locus name)	psi-mi:tata_ecoli(display_long)|uniprotkb:tatA(gene name)|psi-mi:tatA(display_short)|uniprotkb:mttA1(gene name synonym)|uniprotkb:yigT(gene name synonym)|uniprotkb:b3836(locus name)|uniprotkb:JW3813(locus name)	psi-mi:"MI:0809"(bimolecular fluorescence complementation)	Kostecki et al. (2010)	pubmed:20169075|imex:IM-16951	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	taxid:83333(ecoli)|taxid:83333("Escherichia coli (strain K12)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-4411639|imex:IM-16951-6	intact-miscore:0.57
