"Strain","Assembly Status","Replicon","Locus Tag","RefSeq Accession","GI Number","UniProtKB Accession","UniProtKB ID","Uniparc","UniRef100 ID","UniRef90 ID","UniRef50 ID","NCBI Locus Tag","NCBI Old Locus Tag","Affymetrix","Feature Type","Coordinates","Gene Length","Gene Name","Product Description","Product Name Confidence","Estimated MW (kDa)","Estimated Isoelectric Point (pI)","Estimated Charge (ph7)",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_65900","YP_793453.1","116053132","Q02F33","Q02F33_PSEAB","UPI000045D4DA","UniRef100_S0HRY5","UniRef90_A6VDA2","UniRef50_Q4KD70","PA14_65900","","","CDS","5870557..5871204(-)","648","","TetR family transcriptional regulator","","23.4","5.95","-3.68",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_24910","YP_790144.1","116051029","Q02PJ2","Q02PJ2_PSEAB","UPI0000395F81","UniRef100_Q02PJ2","UniRef90_V6ACT7","UniRef50_G0EZR9","PA14_24910","","","CDS","2175871..2177088(+)","1218","moeA2","molybdenum cofactor biosynthesis protein A2","","43.3","4.80","-7.92",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_70940","YP_793846.1","116053519","Q02DZ0","BETA_PSEAB","UPI000045D309","UniRef100_Q02DZ0","UniRef90_B7V5R3","UniRef50_Q8FKI9","PA14_70940","","","CDS","6320283..6321968(-)","1686","betA","choline dehydrogenase","","61.8","6.92","-0.59",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_29740","YP_790538.1","116050643","Q02NE8","Q02NE8_PSEAB","UPI0000395E6B","UniRef100_Q02NE8","UniRef90_A0A086BZ01","UniRef50_C1DL27","PA14_29740","","","CDS","2574563..2575900(+)","1338","","two-component sensor","","49.8","6.80","-0.93",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_34820","YP_790935.1","116050248","Q02MA1","Q02MA1_PSEAB","UPI000045D2BC","UniRef100_S0IJR3","UniRef90_Q9I1H1","UniRef50_Q9I1H1","PA14_34820","","","CDS","3094663..3095751(+)","1089","","regulatory protein","","40.7","6.71","-1.92",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_39890","YP_791335.1","116049856","","","","","","","PA14_39890","","","CDS","3556129..3556965(-)","837","phzF2","phenazine biosynthesis protein","","30.3","6.42","-2.96",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_45470","YP_791786.1","116049411","Q02JV0","Q02JV0_PSEAB","UPI000045D155","UniRef100_S0IKI3","UniRef90_A0A022P346","UniRef50_A0A022P346","PA14_45470","","","CDS","4048496..4049182(+)","687","","hypothetical protein","","25.5","6.31","-3.23",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_03930","YP_788470.1","116054027","Q02UB6","Q02UB6_PSEAB","UPI00000C4FF0","UniRef100_Q9I6J0","UniRef90_Q9I6J0","UniRef50_Q9I6J0","PA14_03930","","","CDS","354084..355181(+)","1098","spuE","polyamine transport protein","","40.1","5.47","-4.86",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_50420","YP_792186.1","116049012","Q02IQ0","FLGH_PSEAB","UPI00003965D0","UniRef100_Q02IQ0","UniRef90_A6V9B2","UniRef50_Q52081","PA14_50420","","","CDS","4480118..4480813(-)","696","flgH","flagellar basal body L-ring protein","","24.5","6.75","-0.04",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_08880","YP_788859.1","116052295","Q02T77","RL2_PSEAB","UPI00000C5C8A","UniRef100_A6UZJ1","UniRef90_Q889W8","UniRef50_Q85FI1","PA14_08880","","","CDS","761118..761939(+)","822","rplB","50S ribosomal protein L2","","29.6","11.79","35.33",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_55080","YP_792579.1","116048621","Q02HK7","Q02HK7_PSEAB","UPI0000E44BB5","UniRef100_Q02HK7","UniRef90_Q02HK7","UniRef50_Q02HK7","PA14_55080","","","CDS","4893060..4894265(+)","1206","","hypothetical protein","","43.3","6.51","-2.28",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_13960","YP_789259.1","116051898","Q02S27","Q02S27_PSEAB","UPI0000E4491B","UniRef100_Q02S27","UniRef90_Q02S27","UniRef50_Q02S27","PA14_13960","","","CDS","1198334..1198426(-)","93","","hypothetical protein","","3102.4","4.06","-2.78",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_59850","YP_792973.1","116052657","Q02GG3","Q02GG3_PSEAB","UPI00001B2537","UniRef100_Q02GG3","UniRef90_Q02GG3","UniRef50_Q02GG3","PA14_59850","","","CDS","5331863..5332168(+)","306","","hypothetical protein","","11.5","6.81","-0.29",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_18950","YP_789658.1","116051506","Q02QX8","ETCA_PSEAB","UPI0000134380","UniRef100_B7UWJ4","UniRef90_B7UWJ4","UniRef50_D5ARY9","PA14_18950","","","CDS","1633773..1634357(-)","585","","Na(+)-translocating NADH-quinone reductase subunit E","","20.9","9.63","5.13",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_64650","YP_793359.1","116053040","Q02FC7","UREE_PSEAB","UPI0000396F0A","UniRef100_Q02FC7","UniRef90_B7V1V4","UniRef50_Q48DC9","PA14_64650","","","CDS","5758621..5759124(+)","504","ureE","urease accessory protein UreE","","18.8","7.16","0.79",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_23750","YP_790052.1","116051117","Q02PT4","LEUC_PSEAB","UPI000012E509","UniRef100_B7VBP9","UniRef90_Q884C2","UniRef50_P80858","PA14_23750","","","CDS","2063572..2064996(+)","1425","leuC","isopropylmalate isomerase large subunit","","51.0","6.25","-5.36",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_69720","YP_793755.1","116053430","Q02E81","Q02E81_PSEAB","UPI000039706C","UniRef100_W1MWV3","UniRef90_Q9HTS3","UniRef50_D7I6G3","PA14_69720","","","CDS","6218435..6219133(+)","699","","hydrolase","","25.9","5.91","-4.34",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_28620","YP_790443.1","116050736","Q02NP3","Q02NP3_PSEAB","UPI00000C57E0","UniRef100_W0YVC8","UniRef90_A6V482","UniRef50_A6V482","PA14_28620","","","CDS","2465588..2465914(-)","327","","hypothetical protein","","11.6","6.50","-0.57",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_33590","YP_790839.1","116050344","Q02MJ7","Q02MJ7_PSEAB","UPI0000396AE2","UniRef100_Q02MJ7","UniRef90_W0Z6M8","UniRef50_G8Q017","PA14_33590","","","CDS","2954549..2955088(-)","540","","hypothetical protein","","20.0","10.18","6.65",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_38640","YP_791239.1","116049951","Q02LE7","Q02LE7_PSEAB","UPI00000C554F","UniRef100_Q9I2A9","UniRef90_Q9I2A9","UniRef50_Q9I2A9","PA14_38640","","","CDS","3447272..3447928(-)","657","","CoA transferase subunit B","","23.2","4.57","-8.37",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_43620","YP_791635.1","116049561","Q02KA1","Q02KA1_PSEAB","UPI00003967C2","UniRef100_W0YRM6","UniRef90_A6V7H6","UniRef50_A6V7H6","PA14_43620","","","CDS","3882913..3883377(-)","465","","phosphohistidine phosphatase SixA","","16.7","6.51","-2.08",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_44280","YP_791690.1","116049506","Q02K46","RLMM_PSEAB","UPI000039678C","UniRef100_Q02K46","UniRef90_B7UVG0","UniRef50_A4VKM0","PA14_44280","","","CDS","3939086..3940144(-)","1059","","RNA 2'-O-ribose methyltransferase","","40.2","8.48","6.43",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_02740","YP_788375.1","116053937","Q02UL1","Q02UL1_PSEAB","UPI00000C4FA7","UniRef100_W0YL01","UniRef90_A6UY21","UniRef50_L7V4C9","PA14_02740","","","CDS","244005..244787(-)","783","","class II aldolase/adducin domain-containing protein","","28.4","6.44","-4.09",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_49220","YP_792090.1","116049108","Q02IZ6","Q02IZ6_PSEAB","UPI0000396621","UniRef100_Q02IZ6","UniRef90_Q9I4G1","UniRef50_Q9I4G1","PA14_49220","","","CDS","4372405..4372896(+)","492","napF","ferredoxin protein NapF","","17.0","6.68","-0.77",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_07810","YP_788772.1","116054327","Q02TG4","Q02TG4_PSEAB","UPI000045D44B","UniRef100_Q02TG4","UniRef90_Q9I5T9","UniRef50_Q9I5T9","PA14_07810","","","CDS","671923..672984(-)","1062","","hypothetical protein","","37.9","4.76","-12.53",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_53910","YP_792484.1","116048716","Q02HV2","Q02HV2_PSEAB","UPI0000E44B9A","UniRef100_Q02HV2","UniRef90_Q9I5E0","UniRef50_Q9I5E0","PA14_53910","","","CDS","4780784..4781434(-)","651","pmtA","phospholipid methyltransferase","","23.6","6.91","-0.20",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_12710","YP_789163.1","116051994","Q02SC3","Q02SC3_PSEAB","UPI000039622C","UniRef100_Q02SC3","UniRef90_A0A031E3Y6","UniRef50_Q4KBL5","PA14_12710","","","CDS","1089762..1090856(-)","1095","","hypothetical protein","","40.7","5.98","-6.34",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_58790","YP_792877.1","116052562","Q02GQ9","YACG_PSEAB","UPI00000C5D51","UniRef100_A6VBR6","UniRef90_A6VBR6","UniRef50_Q6D0J4","PA14_58790","","","CDS","5238683..5238883(+)","201","","zinc-binding protein","","7.4","4.23","-6.65",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_17690","YP_789562.1","116051600","Q02R74","Q02R74_PSEAB","UPI00000C5A87","UniRef100_W0YWR5","UniRef90_A6V1I8","UniRef50_A0A085G6D9","PA14_17690","","","CDS","1520134..1521744(-)","1611","","hypothetical protein","","58.8","7.80","4.35",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_63420","YP_793264.1","116052947","Q02FM2","Q02FM2_PSEAB","UPI0000E44C32","UniRef100_Q02FM2","UniRef90_Q02FM2","UniRef50_Q02FM2","PA14_63420","","","CDS","5656494..5656610(-)","117","","hypothetical protein","","4.4","8.24","1.16",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_22580","YP_789959.1","116051210","Q02Q27","Q02Q27_PSEAB","UPI0000395FFB","UniRef100_A0A087L9D0","UniRef90_A6V2K2","UniRef50_A6V2K2","PA14_22580","","","CDS","1964106..1964870(-)","765","","AraC family transcriptional regulator","","27.5","8.38","5.00",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_68510","YP_793659.1","116053335","Q02EH7","Q02EH7_PSEAB","UPI000045D534","UniRef100_A0A022NZW4","UniRef90_Q9HU02","UniRef50_Q4K4U1","PA14_68510","","","CDS","6111318..6113108(-)","1791","","acyl-CoA dehydrogenase","","64.6","5.30","-12.42",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_27570","YP_790351.1","116050826","Q02NY5","Q02NY5_PSEAB","UPI0000395EF4","UniRef100_W0YSI3","UniRef90_Q9I021","UniRef50_Q4K8V0","PA14_27570","","","CDS","2393262..2393744(+)","483","","GAF domain-containing protein","","17.1","4.40","-8.41",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_32390","YP_790743.1","116050438","Q02MU3","Q02MU3_PSEAB","UPI00000C5704","UniRef100_Q9I0Y8","UniRef90_Q9I0Y8","UniRef50_Q8EBL9","PA14_32390","","","CDS","2814154..2817342(-)","3189","mexF","RND multidrug efflux transporter MexF","","115.5","5.41","-11.43",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_37400","YP_791143.1","116050043","Q02LP3","Q02LP3_PSEAB","UPI000045D272","UniRef100_A0A0C7CVR7","UniRef90_U8LUQ4","UniRef50_A4XTI6","PA14_37400","","","CDS","3328573..3329607(+)","1035","","AraC family transcriptional regulator","","38.5","8.49","5.02",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_42470","YP_791539.1","116049656","Q02KJ7","Q02KJ7_PSEAB","UPI000045D1B8","UniRef100_Q02KJ7","UniRef90_Q02KJ7","UniRef50_Q02KJ7","PA14_42470","","","CDS","3781631..3782515(-)","885","pcrV","type III secretion protein PcrV","","32.4","4.86","-6.51",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_01480","YP_788279.1","116053842","Q02UV7","Q02UV7_PSEAB","UPI0000DAEFD6","UniRef100_W1MX66","UniRef90_Q9I711","UniRef50_Q9I711","PA14_01480","","","CDS","138917..139651(+)","735","","hypothetical protein","","26.4","9.55","4.42",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_48030","YP_791994.1","116049203","Q02J92","Q02J92_PSEAB","UPI000045D0F7","UniRef100_S0IK15","UniRef90_Q9I493","UniRef50_Q4KBC3","PA14_48030","","","CDS","4275245..4276870(+)","1626","","methyl-accepting chemotaxis transducer","","58.6","4.90","-17.33",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_06640","YP_788678.1","116054234","Q02TQ8","Q02TQ8_PSEAB","UPI000045D424","UniRef100_V6A832","UniRef90_A6UYW9","UniRef50_Q4K4U1","PA14_06640","","","CDS","578977..580755(+)","1779","","acyl-CoA dehydrogenase","","63.6","5.11","-13.51",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_52790","YP_792388.1","116048812","Q02I48","Q02I48_PSEAB","UPI00000D4712","UniRef100_W0YLE0","UniRef90_A6VA85","UniRef50_A6VA85","PA14_52790","","","CDS","4678646..4679425(-)","780","aotJ","arginine/ornithine binding protein AotJ","","28.0","6.77","-0.06",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_11450","YP_789067.1","116052089","Q02SL9","Q02SL9_PSEAB","UPI0000130A60","UniRef100_Q9HWX6","UniRef90_Q9HWX6","UniRef50_Q9HWX6","PA14_11450","","","CDS","992358..992837(+)","480","nusB","transcription antitermination protein NusB","","17.7","8.47","1.92",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_57640","YP_792782.1","116052469","Q02H04","Q02H04_PSEAB","UPI0000396389","UniRef100_Q02H04","UniRef90_Q9HVX8","UniRef50_Q9HVX8","PA14_57640","","","CDS","5133361..5134323(+)","963","","hypothetical protein","","35.5","6.32","-1.28",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_16560","YP_789466.1","116051695","Q02RH0","Q02RH0_PSEAB","UPI0000396156","UniRef100_S0I4I7","UniRef90_A6V189","UniRef50_Q88MS1","PA14_16560","","","CDS","1418127..1418678(+)","552","","lipoprotein","","20.4","4.43","-9.58",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_62290","YP_793170.1","116052853","Q02FW6","Q02FW6_PSEAB","UPI00000C5DD5","UniRef100_W0YXD7","UniRef90_O68878","UniRef50_G8QCQ5","PA14_62290","","","CDS","5557967..5558950(-)","984","","ABC transporter permease","","33.6","9.24","4.62",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_21520","YP_789865.1","116051303","Q02QC1","Q02QC1_PSEAB","UPI0000E44996","UniRef100_W1MG34","UniRef90_Q9HYV5","UniRef50_Q9HYV5","PA14_21520","","","CDS","1866255..1866758(+)","504","","hypothetical protein","","18.3","6.34","-1.93",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_67280","YP_793565.1","116053242","Q02ES1","Q02ES1_PSEAB","UPI000045D510","UniRef100_W0Z0V7","UniRef90_G8Q1L7","UniRef50_G8Q1L7","PA14_67280","","","CDS","6008728..6009579(-)","852","","ABC transporter permease","","30.9","9.87","3.47",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_26310","YP_790256.1","116050920","Q02P80","Q02P80_PSEAB","UPI0000395F36","UniRef100_S0I368","UniRef90_Q9HZS9","UniRef50_E1V9B0","PA14_26310","","","CDS","2295081..2295854(-)","774","","short chain dehydrogenase","","26.7","7.78","1.64",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_72360","YP_793958.1","116053631","Q02DM8","Q02DM8_PSEAB","UPI000013B3A1","UniRef100_Q9HT89","UniRef90_Q9HT89","UniRef50_Q9HT89","PA14_72360","","","CDS","6445141..6445608(-)","468","","hypothetical protein","","17.4","5.24","-3.35",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_31090","YP_790647.1","116050534","Q02N39","Q02N39_PSEAB","UPI0000E44A51","UniRef100_Q02N39","UniRef90_Q02N39","UniRef50_Q02N39","PA14_31090","","","CDS","2704176..2705093(-)","918","","hypothetical protein","","33.1","11.77","27.32",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_36220","YP_791047.1","116050136","Q02LY9","Q02LY9_PSEAB","UPI00000C5605","UniRef100_W0YSB2","UniRef90_A6V5W2","UniRef50_S0AKK1","PA14_36220","","","CDS","3226187..3226903(+)","717","","amino acid permease","","26.4","10.04","6.19",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_41280","YP_791446.1","116049747","Q02KU0","Q02KU0_PSEAB","UPI0000E44AED","UniRef100_S0IQA3","UniRef90_Q9I2U5","UniRef50_Q9I2U5","PA14_41280","","","CDS","3684343..3686175(+)","1833","","beta-lactamase","","67.5","9.94","17.94",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_00320","YP_788183.1","116053748","Q02V53","Q02V53_PSEAB","UPI0000396BE7","UniRef100_Q02V53","UniRef90_Q9I7A2","UniRef50_Q9I7A2","PA14_00320","","","CDS","29917..30519(+)","603","","hypothetical protein","","21.2","4.37","-9.06",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_46850","YP_791898.1","116049299","Q02JI8","Q02JI8_PSEAB","UPI00000C532A","UniRef100_W0YPG4","UniRef90_W0YPG4","UniRef50_W0YPG4","PA14_46850","","","CDS","4172017..4172709(+)","693","","transcriptional regulator","","26.3","8.47","4.76",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_05320","YP_788582.1","116054139","Q02U04","Q02U04_PSEAB","UPI0000131AC9","UniRef100_P46384","UniRef90_P46384","UniRef50_P46384","PA14_05320","","","CDS","464377..464784(+)","408","pilG","twitching motility protein PilG","","14.7","7.41","0.41",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_51650","YP_792297.1","116048902","Q02ID9","Q02ID9_PSEAB","UPI00001B258A","UniRef100_Q7WZ26","UniRef90_Q9F771","UniRef50_Q9F771","PA14_51650","","","CDS","4589452..4590732(+)","1281","","integrase","","48.0","9.59","12.95",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_10270","YP_788971.1","116052185","Q02SW5","Q02SW5_PSEAB","UPI00003962BA","UniRef100_S0HV72","UniRef90_A0A077JIL1","UniRef50_Q4KEQ7","PA14_10270","","","CDS","884308..885348(-)","1041","","hypothetical protein","","36.5","7.68","2.29",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_56430","YP_792686.1","116052375","Q02HA0","Q02HA0_PSEAB","UPI0000E44BD1","UniRef100_W0YW71","UniRef90_Q9HW60","UniRef50_Q4KH07","PA14_56430","","","CDS","5033108..5033878(-)","771","","transcriptional regulator","","29.1","8.49","4.56",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_15430","YP_789370.1","116051788","Q02RR6","Q02RR6_PSEAB","UPI00001A96B1","UniRef100_A0A076PHC3","UniRef90_A0A076PHC3","UniRef50_P0C1G2","PA14_15430","","","CDS","1306410..1306970(-)","561","","resolvase, essential for transposition","","21.6","10.48","7.72",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_61150","YP_793081.1","116052764","Q02G55","Q02G55_PSEAB","UPI0000E44C19","UniRef100_S0IM46","UniRef90_Q9HVH0","UniRef50_A0A0B7D681","PA14_61150","","","CDS","5451896..5454727(-)","2832","","oxidoreductase","","103.7","7.45","3.70",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_20370","YP_789770.1","116051397","Q02QL6","Q02QL6_PSEAB","UPI000039607D","UniRef100_W1MJ22","UniRef90_W0YU79","UniRef50_I4CMR3","PA14_20370","","","CDS","1752255..1752884(+)","630","phnH","carbon-phosphorus lyase complex subunit","","22.2","4.19","-11.88",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_66110","YP_793469.1","116053148","Q02F17","Q02F17_PSEAB","UPI000045D4E3","UniRef100_W1MRP6","UniRef90_Q9HUG5","UniRef50_Q9HUG5","PA14_66110","","","CDS","5888931..5889815(-)","885","","glycosyl transferase family protein","","33.5","7.06","0.14",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_25100","YP_790160.1","116051013","Q02PH6","Q02PH6_PSEAB","UPI00000C58C7","UniRef100_W0YUG1","UniRef90_A6V384","UniRef50_A6V384","PA14_25100","","","CDS","2196186..2196560(+)","375","","hypothetical protein","","14.1","5.21","-2.56",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_71160","YP_793862.1","116053535","Q02DX4","Q02DX4_PSEAB","UPI00000C5FD9","UniRef100_W0Z3J4","UniRef90_A6VEK0","UniRef50_G8Q1M3","PA14_71160","","","CDS","6338774..6339712(-)","939","","hypothetical protein","","33.8","8.75","3.38",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_29980","YP_790554.1","116050627","Q02ND2","Q02ND2_PSEAB","UPI00000C5781","UniRef100_Q9I0J8","UniRef90_Q9I0J8","UniRef50_Q9I0J8","PA14_29980","","","CDS","2595662..2596162(-)","501","nuoE","NADH dehydrogenase subunit E","","18.1","4.82","-7.72",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_35030","YP_790951.1","116050232","Q02M85","Q02M85_PSEAB","UPI00000C5647","UniRef100_W0YPN0","UniRef90_W0YPN0","UniRef50_W0YPN0","PA14_35030","","","CDS","3119107..3119769(-)","663","","hypothetical protein","","24.2","7.77","1.40",""
"Pseudomonas aeruginosa UCBPP-PA14","Complete Genome","chromosome","PA14_40100","YP_791351.1","116049842","Q02L35","Q02L35_PSEAB","UPI000045D213","UniRef100_Q02L35","UniRef90_Q9I2K9","UniRef50_Q9I2K9","PA14_40100","","","CDS","3573078..3574487(+)","1410","","hypothetical protein","","52.3","6.93","-0.41",""
